"","fname","slp","r2","p","cat","program_mean","obs_mean","program_sd","obs_sd","program_ac","obs_ac"
"78","e73inc4_15_095rev_15.xls",-0.000900699817809749,0.560797057642796,0,"N",14.955,14.9133333333333,2.49183034883897,2.48869488706357,0.950153370496836,0.949294142264208
"79","e73inc5_15_095_16.xls",-0.000938610094716746,0.603508025278633,0,"N",14.9420168067227,14.9260504201681,2.50391205097886,2.51562783836661,0.95500933712437,0.952180737706126
"80","e73inc6_15_095rev_16.xls",0.00094250286615364,0.613323886923887,0,"P",14.9583333333333,14.9091666666667,2.49832156542301,2.49429587354065,0.954106370979384,0.953215771705931
"81","e74inc3_10_095_1.xls",-0.000702977130738051,0.34224236356281,0,"N",9.95042016806723,9.90504201680672,2.50663100086651,2.50348397033915,0.95466573317193,0.94964901738572
"82","e74inc4_10_095rev_1.xls",0.000709641489330749,0.347562242437368,0,"P",9.9453781512605,9.91764705882353,2.4948675417154,2.50533826867323,0.954845409010899,0.954049662530069
"83","e74inc6_10_095_2.xls",-0.0007360307209451,0.499560437648573,0,"N",9.96166666666667,10.2366666666667,2.48542586626411,2.16984425469568,0.953896113367533,0.912954010186995
"84","e75inc4_10_095_3.xls",0.000697323469676928,0.337167106446995,0,"P",9.95798319327731,9.93193277310924,2.49271806581638,2.48800283302434,0.964516907421085,0.961179637140595
"85","e75inc5_10_095rev_3.xls",-0.000691521264747391,0.330704608844712,0,"N",9.97142857142857,9.95378151260504,2.49525457609354,2.49663468122986,0.964983761309585,0.955877254358279
"86","e75inc6_10_095rev_2.xls",0.000894667168835449,0.551302748024491,0,"P",9.97647058823529,9.94033613445378,2.49306515726423,2.49763682639502,0.953463462439588,0.953844089335765
"87","e77inc3_10_095_7.xls",-0.00104652209046538,0.75682708309094,0,"N",9.9575,9.93,2.49475626535528,2.49959996799488,0.953246014474776,0.952041258244656
"88","e77inc4_10_095rev_7.xls",0.00105290909132876,0.759940227189407,0,"P",9.965,9.93333333333333,2.4931721888039,2.50106979911717,0.952934224063226,0.948197472042607
"89","e78inc2_10_095rev_8.xls",-0.000729943254763799,0.37142290578285,0,"N",9.95916666666667,9.93,2.49454853810536,2.48300441489131,0.958093402943025,0.954357124164477
"90","e78inc3_10_095_8.xls",0.000741100281572906,0.377559708960868,0,"P",9.955,9.9125,2.48997485728591,2.49327035413802,0.957236170653987,0.956961672927216
"91","e79inc3_10_095rev_9.xls",-0.00108557322239874,0.81806030059568,0,"N",9.97310924369748,9.92605042016807,2.49585070850624,2.49210489566462,0.952927641389381,0.952967033972129
"92","e79inc4_10_095_9.xls",0.00101786585735654,0.772895017418908,0,"P",9.94117647058824,10.027731092437,2.50323220767538,2.40416039009738,0.953407190207,0.945715235856166
"93","e80inc2_10_095_10.xls",-0.00110400155055872,0.836316476100687,0,"N",9.96218487394958,9.88319327731092,2.50399652070474,2.50448138437885,0.957930594074971,0.950430387113458
"94","e81inc3_37_095_1.xls",-0.0011121361513378,0.861668714877299,0,"N",36.9525,36.9166666666667,2.50038526443191,2.50143936155803,0.959064038076331,0.95797296410036
"95","e82inc3_37_095_2.xls",0.000999276924892709,0.714978589508274,0,"P",36.9280991735537,36.8917355371901,2.50400423124296,2.49968620620201,0.92576300796993,0.924587039430253
"96","e84inc3_37_095_4.xls",0.000977689487274646,0.666721274553754,0,"P",36.9558333333333,36.9116666666667,2.49647805138848,2.49736611953754,0.958148223908714,0.955842283274297
"97","e85inc3_37_095_5.xls",-0.00104516179752083,0.756502738161233,0,"N",36.9697478991597,36.9394957983193,2.50062889113135,2.50024468251406,0.953281460568446,0.951244460788054
"98","e88inc5_37_095_6.xls",-0.000909741295071524,0.57145368876347,0,"N",36.9541666666667,36.9275,2.49755833146047,2.50743306754842,0.952116574002091,0.950607750415425
"99","e89inc2_10_095_11.xls",-0.000751897059836725,0.399528360631517,0,"N",9.98595041322314,9.94132231404959,2.51098605416026,2.51501058385737,0.942655797580872,0.94162620693337
"100","e90inc2_37_095_9.xls",0.000162308283860771,0.0182522438313033,0.00000000000000000000000000000182289295597964,"P",36.9483333333333,36.9041666666667,2.49634971603778,2.48925070003386,0.95387750727913,0.947401855774924
"101","e90inc4_37_095rev_9.xls",-0.000130770314027227,0.0127614534488133,0.000000000000000000000283177752568125,"N",36.9691056910569,36.930081300813,2.46829502717906,2.47329788993408,0.952339879716455,0.952839549403233
"102","e91inc2_37_095rev_10.xls",0.000892165027080048,0.553105861463494,0,"P",36.9566666666667,36.9175,2.49047710097407,2.49593493033584,0.952387935182058,0.947773749187697
"103","e91inc3_37_095_10.xls",-0.0008951360856571,0.556171487350576,0,"N",36.9566666666667,36.9091666666667,2.49617298114949,2.49210504092705,0.951816904810713,0.949166051113658
"104","e92inc2_37_000_11.xls",-0.0000267148166195349,0.000697132219995533,0.0256891754232264,"N",36.9747899159664,36.9470588235294,2.46223057503622,2.49751820981847,0.039466053857254,0.0243931609000494
"105","e92inc3_37_095rev_11.xls",-0.000782958000002075,0.42567453715411,0,"N",36.944537815126,36.9126050420168,2.50256470069907,2.50993127807363,0.957391372396284,0.954879758443558
"106","e92inc4_37_095_11.xls",0.000778119719233299,0.422047865005881,0,"P",36.9260504201681,36.8924369747899,2.48454416188393,2.48467027665765,0.955363180543045,0.9544634955015
"107","e93inc2_37_095rev_12.xls",-0.000180048024959848,0.0226532326697034,0.000000000000000000000000000000000000203592618246757,"N",36.9672268907563,36.936974789916,2.50166416623549,2.49470169223845,0.950161826185778,0.949867976081312
"108","e93inc4_37_095_12.xls",0.000179674503564354,0.0225748132497759,0.000000000000000000000000000000000000262300236856147,"P",36.9840336134454,36.9420168067227,2.4788591961051,2.47679042578787,0.946900064343733,0.945729372378602
"109","e94inc3_10_095_12.xls",0.000619885766665181,0.264245343108731,0,"P",9.95166666666667,9.91166666666667,2.49365525416218,2.5156379257893,0.958648184326987,0.957058818018302
"110","e94inc4_10_095rev_12.xls",-0.000610201697347138,0.257356679317912,0,"N",9.95,9.915,2.50129378287223,2.49465478994758,0.958251625208188,0.956299750328463
"111","e95inc2_10_095_13.xls",-0.000603028542360217,0.253315048257955,0,"N",9.94333333333333,9.92,2.48730333315992,2.49161956711431,0.943299312458987,0.935335394411266
"112","e95inc4_10_095rev_13.xls",0.000591978062970136,0.247590158802243,0,"P",9.95333333333333,9.94833333333333,2.48869488706357,2.47481374677621,0.943093653461269,0.936335559703193
"113","e97inc2_37_095rev_14.xls",0.000491518851639428,0.168191950824477,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000483427236895063,"P",36.9616666666667,36.8966666666667,2.49443694774482,2.48832343183127,0.949526473842334,0.947726607843209
"114","e97inc3_37_095_14.xls",-0.000496551002051661,0.172275486740061,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110838248716878,"N",36.9491666666667,36.92,2.4895747614798,2.49397930486787,0.950581528084517,0.947979118367082
"115","e98inc3_37_095_15.xls",-0.000871923860309156,0.526869879561466,0,"N",36.9491666666667,36.9041666666667,2.49392525254189,2.49410720064141,0.954161819141029,0.952862052596868
"116","e98inc4_37_095rev_15.xls",0.000869719828492545,0.523682650174427,0,"P",36.9508333333333,36.905,2.49355457645713,2.49600857841663,0.953875638080502,0.953971427492356
"117","e99inc3_27_095_22.xls",-0.000823931104854744,0.498003413592138,0,"N",36.9524590163934,36.9131147540984,2.47377027183419,2.47679981540003,0.952480458231512,0.952777456495231
"118","e99inc4_27_095rev_22.xls",0.000810087732858002,0.479838005714167,0,"P",36.9344262295082,36.8901639344262,2.47716081454647,2.4763813187216,0.950361181344568,0.949541798560981
